precio,area,habitaciones,banos,latitud,longitud,precio_m2,ciudad,departamento,tipo_propiedad,categoria_tamano,categoria_precio
2650000000.0,326.0,3.0,4.0,4.669,-74.049,8128834.355828221,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
1280000000.0,170.0,3.0,4.0,4.699,-74.047,7529411.764705882,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
550000000.0,120.0,3.0,4.0,4.705,-74.031,4583333.333333333,Bogotá D.C,Cundinamarca,Apartamento,Grande,Alta
2220000000.0,487.0,4.0,4.0,4.726,-74.077,4558521.560574949,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
2150000000.0,585.0,5.0,6.0,4.658,-74.06,3675213.675213675,Bogotá D.C,Cundinamarca,Apartamento,Muy Grande,Premium
690000000.0,68.0,1.0,1.0,4.634,-74.09,10147058.823529411,Bogotá D.C,Cundinamarca,Local comercial,Mediana,Premium
1320000000.0,66.0,1.0,1.0,7.886,-72.506,20000000.0,Desconocida,Norte De Santander,Local comercial,Mediana,Premium
2300000000.0,146.0,1.0,1.0,4.664,-74.067,15753424.657534247,Bogotá D.C,Cundinamarca,Local comercial,Grande,Premium
230000000.0,83.0,3.0,2.0,7.123,-73.116,2771084.3373493976,Bucaramanga,Santander,Apartamento,Mediana,Media
850000000.0,558.0,3.0,2.0,4.85,-74.059,1523297.4910394265,Chía,Cundinamarca,Lote,Muy Grande,Premium
440000000.0,59.0,2.0,1.0,4.938,-74.025,7457627.118644068,Cajicá,Cundinamarca,Oficina,Mediana,Alta
75000000.0,13.0,2.0,1.0,7.89,-72.515,5769230.769230769,Desconocida,Norte De Santander,Casa,Pequeña,Económica
310000000.0,190.0,4.0,1.0,10.953,-74.803,1631578.9473684211,Barranquilla,Atlántico,Casa,Muy Grande,Alta
520000000.0,211.0,2.0,1.0,6.559,-75.828,2464454.9763033176,Santafé De Antioquia,Antioquia,Casa,Muy Grande,Alta
130000000.0,46.0,3.0,1.0,5.059,-75.479,2826086.9565217393,Manizales,Caldas,Apartamento,Pequeña,Media
150000000.0,20.0,1.0,1.0,7.88,-72.501,7500000.0,Desconocida,Norte De Santander,Local comercial,Pequeña,Media
150000000.0,20.0,1.0,1.0,7.88,-72.501,7500000.0,Desconocida,Norte De Santander,Local comercial,Pequeña,Media
650000000.0,55.0,1.0,1.0,6.159,-75.604,11818181.818181818,Sabaneta,Antioquia,Local comercial,Mediana,Premium
187000000.0,160.0,3.0,2.0,7.912,-72.473,1168750.0,Desconocida,Norte De Santander,Casa,Muy Grande,Media
250000000.0,120.0,3.0,2.0,3.421,-76.526,2083333.3333333333,Cali,Valle Del Cauca,Casa,Grande,Media
90000000.0,54.0,3.0,2.0,3.542,-76.313,1666666.6666666667,Palmira,Valle Del Cauca,Casa,Mediana,Económica
340000000.0,84.0,3.0,2.0,3.394,-76.556,4047619.0476190476,Cali,Valle Del Cauca,Apartamento,Mediana,Alta
100000000.0,59.0,3.0,2.0,3.485,-76.494,1694915.2542372881,Cali,Valle Del Cauca,Apartamento,Mediana,Media
220000000.0,57.0,3.0,2.0,4.853,-74.051,3859649.1228070175,Chía,Cundinamarca,Apartamento,Mediana,Media
270000000.0,64.0,2.0,2.0,6.176,-75.607,4218750.0,Itagui,Antioquia,Apartamento,Mediana,Media
390000000.0,98.0,2.0,2.0,4.791,-75.697,3979591.836734694,Pereira,Risaralda,Apartamento,Mediana,Alta
130000000.0,42.0,3.0,2.0,4.301,-74.81,3095238.095238095,Mosquera,Cundinamarca,Apartamento,Pequeña,Media
245000000.0,75.0,3.0,2.0,6.347,-75.504,3266666.6666666665,Copacabana,Antioquia,Apartamento,Mediana,Media
175730000.0,52.0,3.0,2.0,6.347,-75.504,3379423.076923077,Copacabana,Antioquia,Apartamento,Mediana,Media
189260000.0,56.0,2.0,2.0,6.347,-75.504,3379642.8571428573,Copacabana,Antioquia,Apartamento,Mediana,Media
160000000.0,150.0,3.0,2.0,10.989,-74.954,1066666.6666666667,Puerto Colombia,Atlántico,Apartamento,Muy Grande,Media
370000000.0,125.0,2.0,3.0,3.258,-76.554,2960000.0,Jamundí,Valle Del Cauca,Casa,Grande,Alta
630000000.0,172.0,3.0,3.0,4.918,-74.097,3662790.697674419,Tabio,Cundinamarca,Finca,Muy Grande,Premium
160000000.0,82.0,3.0,3.0,7.91,-72.474,1951219.512195122,Desconocida,Norte De Santander,Apartamento,Mediana,Media
270000000.0,130.0,4.0,3.0,3.405,-76.542,2076923.076923077,Cali,Valle Del Cauca,Apartamento,Grande,Media
250000000.0,85.0,4.0,3.0,3.405,-76.537,2941176.470588235,Cali,Valle Del Cauca,Apartamento,Mediana,Media
950000000.0,192.0,3.0,3.0,11.014,-74.82,4947916.666666667,Barranquilla,Atlántico,Apartamento,Muy Grande,Premium
260000000.0,170.0,5.0,4.0,7.918,-72.496,1529411.7647058824,Desconocida,Norte De Santander,Casa,Muy Grande,Media
460000000.0,200.0,5.0,4.0,3.43,-76.532,2300000.0,Cali,Valle Del Cauca,Casa,Muy Grande,Alta
405000000.0,150.0,4.0,4.0,3.39,-76.535,2700000.0,Cali,Valle Del Cauca,Casa,Muy Grande,Alta
3500000000.0,575.0,3.0,4.0,4.977,-74.002,6086956.521739131,Tabio,Cundinamarca,Casa,Muy Grande,Premium
1400000000.0,286.0,3.0,4.0,3.454,-76.554,4895104.895104895,Cali,Valle Del Cauca,Apartamento,Muy Grande,Premium
2300000000.0,410.0,3.0,5.0,4.814,-75.805,5609756.097560976,Pereira,Risaralda,Casa,Muy Grande,Premium
800000000.0,122.0,5.0,5.0,11.206,-74.226,6557377.049180328,Santa Marta,Magdalena,Casa,Grande,Premium
2500000000.0,494.0,6.0,7.0,8.171,-72.477,5060728.744939271,Desconocida,Norte De Santander,Casa,Muy Grande,Premium
